"DTS","035","PCD 33-54                               "
"DTS","036","PCD 33-55                               "
"DTS","037","PCD 33-56                               "
"DTS","038","PCD 33-57                               "
"DTS","039","PCD 33-60                               "
"DTS","040","PCD 33-61                               "
"DTS","041","PCD 33-63                               "
"DTS","042","PCD 33-64                               "
"DTS","043","PCD 33-65                               "
"DTS","044","PCD 33-66                               "
"DTS","045","PCD 33-67                               "
"DTS","046","PCD 45-19                               "
"DTS","047","PCD 45-20                               "
"DTS","048","PCD 5-8US                               "
"DTS","049","PCD 5-9US                               "
"PIC","3CE","MV105 3C CU EPR CTS PVC UL1072          "
"PIC","3AE","MV105 3C AL EPR CTS PVC UL1072          "
"PIC","3CX","MV90 3C CU XLPE PVC UL1072              "
"SHL","SAD","31x#8                                   "
